Data_Year,ID,Name,Address,ZIP Code,Community Area,Primary Property Type,SqFt,Year_Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site_EUI_kBtu_sqft,Source EUI (kBtu/sq ft),Weather_Normalized_Site_EUI_kBtu_sqft,Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2015,175872,Piper's Alley,230 W. North Avenue ,60610,LINCOLN PARK,Performing Arts,137176,1977,1,,5869902,1099712681,,,,8059.6,8552,8059.1,8550.4,59590,434.4,41.91153938,-87.63616909,"(41.91153938, -87.63616909)"
2015,104095,Hall Plaza East,4600-4624,60639,HERMOSA,Strip Mall,53267,1957,1,,4075443,329142849,,,,6255.6,6728.3,6255.6,6728.3,18301,343.6,41.93162302,-87.74252593,"(41.93162302, -87.74252593)"
2015,172592,Hall Plaza West,4628-4650 W. Diversey Ave,60639,HERMOSA,Strip Mall,66836,1957,1,,4356599,412673726,,,,6239.6,6687.8,6239.6,6687.8,22794,341,41.9316219,-87.74259904,"(41.9316219, -87.74259904)"
2015,175603,Gateway Centre,1701-1741 W. Howard,60626,ROGERS PARK,Strip Mall,176761,1980,2,,7193864,1003571794,,,,5718.3,6089.2,5718.3,6089.2,54750,309.7,42.019356,-87.67389,"(42.019356, -87.67389)"
2016,163223,Salem Baptist Church of Chicago,10909 S. Cottage Grove Avenue,60628,PULLMAN,Worship Facility,91800,1960,1,1,3598008.6,513938577.6,,,,5637.7,6001.5,5637.7,6001.5,27960.9,304.6,41.69635381,-87.60821945,"(41.69635381, -87.60821945)"
2015,252092,Pullman Park,10808-10830 S. Doty Avenue W,60626,PULLMAN,Retail Store,66735,2013,2,,2743625,336648267,,,,5085.7,5425.9,5085.7,5425.9,18432,276.2,41.69296132,-87.60058151,"(41.69296132, -87.60058151)"
2017,250120,Building,1401 S. California,60608,North Lawndale,Hospital (General Medical & Surgical),177380,1941,1,1,245664,299999997,,,,1692.7,1780.2,,,15979.9,90.1,41.86251415,-87.69575915,"(41.86251415, -87.69575915)"
2016,101356,DePaul College Prep,3633 N. California,60618,IRVING PARK,K-12 School,202400,1961,1,1,3556914.5,276932146.8,,,,1385.8,1491.8,1385.8,1491.8,15366.8,75.9,41.94809411,-87.69742569,"(41.94809411, -87.69742569)"
2017,173497,Shop & Save Market - Nagle,6312 N. Nagle Ave,60646,NORWOOD PARK,Supermarket/Grocery Store,66711,1987,1,1,8371615,76500541,,,,1272.2,1598.1,1381.2,1711.6,5611.2,84.1,41.99589087,-87.78753092,"(41.99589087, -87.78753092)"
2016,173497,Shop & Save Market - Nagle,6312 N. Nagle Ave,60646,NORWOOD PARK,Supermarket/Grocery Store,66711,1987,1,1,9086394.8,74717249,,,,1256.2,1603.7,1328.4,1676.5,5643.4,84.6,41.99589087,-87.78753092,"(41.99589087, -87.78753092)"
